7.4738,6.8804,8.4187,10.2916,12.9601,9.7649,5.7678,5.8949,3.9631,20,5.2666,2.7754,4.3291,5.548,1.4787,6.4672,-32
7.4734,6.88,8.4183,10.2912,12.9597,9.7646,5.7675,5.8946,3.9629,20,5.2664,2.7751,4.3287,5.5477,1.4783,6.4667,-32
7.4734,6.88,8.4183,10.2912,12.9597,9.7646,5.7675,5.8946,3.9629,20,5.2664,2.7751,4.3287,5.5477,1.4783,6.4667,-32
7.47,6.8767,8.4153,10.2884,12.9573,11.2625,5.7657,5.8933,20,20,5.2634,2.7719,4.3254,5.5442,1.4747,6.4631,-31.5
7.467,6.8739,8.4128,10.286,12.9552,11.2607,5.7641,5.8923,20,1.2853,5.2609,2.7692,4.3226,5.5412,4.8172,1.4716,-39
7.4633,6.8703,8.4095,10.283,12.9525,11.2586,5.7622,5.8909,20,1.2824,5.2576,2.7656,4.3189,5.5373,4.8132,1.4677,-39
7.4536,6.8612,8.8355,8.4015,12.9463,11.2537,5.7579,5.8884,20,1.274,5.2483,2.7557,4.3087,5.5268,4.8026,1.4572,-38
7.4473,6.8552,8.8299,8.3964,12.9423,12.27,5.7552,5.8868,20,1.2685,5.2422,2.7492,4.302,5.5199,4.7956,1.4503,-37.5
20,6.8488,8.8237,8.3907,13.147,12.2664,5.7523,5.8852,20,1.2624,5.2354,20,2.742,5.5123,20,1.4427,-36.5
5.6311,7.424,6.8334,8.3774,10.2531,12.9277,5.7457,7.8447,5.8816,1.2476,20,5.219,2.7246,20,5.494,1.4246,-35
5.6111,7.4053,6.816,8.3624,10.2393,12.9164,11.231,5.7386,7.8399,20,1.2304,5.1999,2.7045,4.2561,5.4729,4.7487,-33
5.5998,7.3948,6.8061,8.354,10.2316,12.91,11.2263,5.7348,7.8373,20,1.2207,5.189,2.693,4.2444,5.4609,4.7367,-32
5.5754,20,6.7851,8.7636,8.336,12.2723,12.2328,5.7266,20,20,1.1996,5.1654,2.6682,4.219,5.435,20,-30
6.3419,5.562,7.3597,6.7736,8.3262,10.206,12.8893,5.7225,20,20,1.1878,20,5.1522,2.6543,5.4205,20,-29
1.3214,5.5324,7.3323,6.7483,8.3049,10.1865,12.8737,11.2,7.7097,20,1.1616,20,5.1228,2.6235,4.1733,5.3886,-26.5
1.305,5.5167,7.3179,6.7351,8.7166,8.2939,12.8658,11.1945,20,20,1.1475,3.2025,5.1069,2.607,4.1564,5.3715,-26
1.2881,5.5007,7.3032,6.7215,8.7039,8.2825,12.8576,12.2021,11.1888,20,1.1333,3.1879,5.0908,2.5901,4.1392,5.354,-24.5
1.2502,6.2407,5.4648,7.2704,6.6915,8.2576,10.1436,12.84,12.1888,20,20,1.1006,5.0537,20,2.5515,5.3144,-22
4.5504,1.2098,5.4265,7.2355,6.6597,8.2314,10.1198,12.8215,20,20,20,1.0659,20,5.0138,2.5101,4.0577,-20
4.5277,1.1878,5.4056,7.2164,6.6423,8.63,8.2171,12.8114,20,20,20,1.0474,20,4.9922,2.4876,4.0348,-18.5
20,1.1653,5.3843,20,7.1969,6.6246,8.2024,12.1525,13.7901,20,20,1.0287,3.0791,4.9702,2.4647,4.0114,-18
20,4.4548,1.1173,5.3386,7.1553,6.5867,8.1712,10.0653,20,20,20,0.9889,3.0365,4.9227,2.4153,3.961,-15.5
5.1219,4.4036,1.0682,5.2918,7.1128,6.5482,8.5421,8.1397,12.9406,20,20,0.9487,2.9925,20,4.8735,2.3643,-14
5.1219,4.4036,1.0682,5.2918,7.1128,6.5482,8.5421,8.1397,12.9406,20,20,0.9487,2.9925,20,4.8735,2.3643,-14
5.0682,4.3515,20,1.019,20,6.5104,8.507,8.1094,20,20,20,0.9072,2.9465,20,4.8224,2.3115,-12.5
5.0155,20,4.3013,0.9725,5.2007,7.0316,6.4762,8.083,9.9865,20,20,0.865,2.8992,20,4.7708,2.2586,-11
20,4.9607,4.2493,0.9253,5.1554,6.9919,6.4415,8.0566,20,20,20,0.8218,20,2.8497,4.7167,2.2035,-9.5
20,4.9327,4.2227,5.8887,0.9016,6.9717,6.424,8.428,8.0433,20,20,0.8,20,2.8243,4.6889,20,-8.5
20,4.9052,4.1967,5.8643,0.8786,6.9519,6.4069,8.4124,8.0304,20,20,0.7792,20,2.7994,20,4.6616,-8.5
3.6322,4.8487,4.1434,5.8146,0.8326,20,6.912,6.3725,10.2245,20,20,0.7372,20,2.7481,20,4.6054,-7.5
3.6042,4.8212,20,4.1176,5.7905,0.8109,6.8928,6.3561,20,20,0.7173,20,20,2.723,20,4.578,-7
3.5457,4.7641,20,4.0641,5.7407,0.7674,6.8533,6.3225,20,20,0.6776,20,20,2.6708,20,4.5207,-6
3.5181,4.7372,20,4.039,5.7174,0.7476,6.835,6.3069,20,20,0.6595,20,20,2.6461,20,4.4936,-6
3.4609,4.6814,20,3.987,5.6692,4.931,0.7086,6.2751,8.2924,20,0.6244,20,20,2.5951,20,4.4375,-5.5
3.4317,4.653,20,3.9607,5.6449,4.9089,0.6898,6.2592,8.278,0.6074,20,20,20,2.5689,20,4.4087,-5.5
3.4029,20,4.6251,3.9348,5.6209,4.8873,6.7597,0.6722,8.2639,0.5916,20,20,20,2.5432,20,4.3804,-5.5
3.3424,20,4.5664,3.8807,5.5711,4.8424,20,0.6382,20,20,20,20,20,2.4889,20,4.3205,24.5
3.2834,20,4.5095,3.8286,20,4.7995,20,6.6851,6.1823,20,20,20,20,2.4359,20,4.2621,-17
3.2538,20,4.4792,3.7988,5.4943,4.7722,6.66,6.1597,20,20,20,20,20,2.4147,20,4.2354,-19.5
20,3.2007,4.4285,20,3.7533,5.453,4.736,6.63,20,20,20,20,20,2.3656,20,4.1819,-17.5
1.6353,3.1765,4.4057,20,3.7331,5.4348,4.7203,6.6171,20,20,20,20,20,2.3429,20,20,-16
1.5839,3.1259,4.3578,20,3.6906,5.3966,4.6872,6.5901,20,20,20,20,20,2.2954,20,20,-14
1.5839,3.1259,4.3578,20,3.6906,5.3966,4.6872,6.5901,20,20,20,20,20,2.2954,20,20,-14
1.5311,3.0743,20,4.3095,20,3.6487,20,4.6556,6.5648,20,20,20,20,20,2.2457,20,-12.5
1.5053,3.0494,20,4.2866,20,3.6292,5.3421,4.6415,20,20,20,20,20,20,2.2207,20,-11.5
20,1.4506,2.9966,4.2382,20,3.5886,5.3067,4.6127,20,20,20,20,20,20,2.1672,20,-9
3.942,1.4228,2.9699,4.2138,20,3.5683,5.289,4.5984,20,20,20,20,20,20,2.14,20,-8.5
3.8808,1.3633,2.9127,20,4.1618,3.5254,5.2516,4.5687,20,20,20,20,20,20,2.0814,20,-7
3.8248,1.3089,2.8605,20,4.1145,20,3.4868,5.2181,4.5423,20,20,20,20,20,2.0277,20,-5.5
3.7967,1.2818,20,2.8345,4.0908,20,3.4676,5.2014,20,20,20,20,20,20,2.0008,20,-5.5
3.7685,1.2545,20,2.8083,4.0671,20,3.4483,5.1847,20,20,20,20,20,20,1.974,20,-4.5
3.7098,20,1.1979,2.754,4.0181,20,3.4091,5.1506,20,20,20,20,20,20,1.9179,20,-3.5
3.6513,20,1.1419,2.7002,3.9697,20,3.3707,5.1172,20,20,20,20,20,20,1.8621,20,-3
3.6213,20,1.1133,2.6728,3.945,20,3.3512,5.1002,20,20,20,20,20,20,1.8336,20,-2.5
3.5903,20,1.0837,2.6444,20,3.9195,20,3.3312,20,20,20,20,20,20,1.8042,20,-2
20,3.5299,1.0265,2.5894,20,3.8702,20,3.293,20,20,20,20,20,20,1.747,20,-1.5
20,3.4988,0.9972,2.5611,20,3.8448,20,3.2734,20,20,20,20,20,20,1.7176,20,-1.5
20,3.4349,20,0.9373,20,3.7931,20,3.2339,4.9977,20,20,20,20,20,1.6575,20,-1
20,3.404,20,0.9086,20,3.7682,20,3.2151,4.9812,20,20,20,20,20,1.6285,20,-0.5
