Sensor 1,Sensor 2,Sensor 3,Steering Angle
1.2452,2.0133,1.1165,22
1.1672,1.9542,1.0756,22
1.5745,1.9353,1.1426,22
1.5502,1.9189,1.1215,22
1.5044,1.2134,1.0822,0
1.4838,1.2018,1.0649,0
1.4599,1.188,1.0452,0
1.4088,1.8237,1.0032,22
1.3515,1.7868,0.9571,22
1.3264,1.766,0.9403,22
1.2793,1.7262,0.9104,22
1.2793,1.7262,0.9104,22
1.2386,1.6908,0.887,22
1.1986,1.0252,0.8666,0
1.6731,0.9966,1.1613,0
1.6495,1.6,1.1392,0
1.6214,1.5788,1.113,0
1.5699,1.5404,1.0652,0
1.5699,1.5404,1.0652,0
1.4838,1.4781,0.9865,0
1.4838,1.4781,0.9865,0
1.3936,1.4158,0.9059,22
1.3936,1.4158,0.9059,22
1.8322,1.3469,0.8377,0
1.8076,1.3244,0.8212,0
1.7792,1.3047,0.8001,0
1.7186,1.2642,0.7572,0
1.6896,1.2453,0.7377,0
1.6896,1.2453,0.7377,0
2.1631,1.1727,0.6661,0
2.1631,1.1727,0.6661,0
2.1254,1.73,1.0367,0
2.0601,1.6824,0.9833,0
1.9925,1.6343,0.9297,0
1.962,1.6132,0.9062,0
1.8956,1.5682,0.8567,0
1.8956,1.5682,0.8567,0
1.8008,1.5068,0.7908,0
1.8008,1.5068,0.7908,0
1.7662,1.4853,0.7683,0
1.7048,1.4486,0.7311,0
1.6373,1.4102,0.6944,0
1.6062,1.9692,1.0692,22
1.5435,1.9235,1.0172,22
1.5169,1.898,0.9982,22
2.0926,1.8487,0.9661,0
2.0692,1.2838,0.9537,0
2.0067,1.7779,0.9139,0
1.9774,1.7557,0.8963,0
1.9155,1.7095,0.8612,0
1.8847,1.6869,0.845,0
1.8542,1.6648,1.2504,0
1.7898,1.6191,1.1927,0
1.7898,1.6191,1.1927,0
1.6998,1.5575,1.1135,0
1.6376,1.5169,1.0601,0
1.6376,1.5169,1.0601,0
1.6062,1.4969,1.0335,0
1.5459,1.4598,0.9835,0
1.4847,1.4239,0.9342,0
1.456,1.9418,0.9116,22
1.3951,1.8942,0.8653,22
2.0091,1.8692,0.8507,0
1.9614,1.8217,0.8284,0
1.9337,1.7997,0.8126,0
1.904,1.7762,0.7965,0
1.8447,1.73,1.2229,0
1.7843,1.6838,1.169,0
1.7553,1.662,1.1433,0
1.6967,1.6186,1.0921,0
1.6967,1.6186,1.0921,0
1.603,1.5516,1.0124,0
1.573,1.5308,0.9876,0
1.5434,1.5106,0.9634,0
2.1373,1.4716,0.9165,0
2.1074,1.4532,0.8946,0
2.0454,1.4167,0.8508,0
2.0454,1.4167,0.8508,0
1.9497,1.8575,0.7886,0
1.9173,1.8324,0.7692,0
1.8571,1.7863,0.736,0
1.8571,1.7863,0.736,0
1.7622,1.7156,1.1366,0
1.7622,1.7156,1.1366,0
1.6985,1.6695,1.0798,0
1.6378,1.6269,1.0266,0
1.6087,1.6069,1.0015,0
1.5482,1.5663,0.9502,22
1.5157,1.545,0.9231,22
2.1258,1.4993,0.8897,0
2.1258,1.4993,0.8897,0
2.0442,1.4378,0.8376,0
2.0442,1.4378,0.8376,0
1.9552,1.3808,0.7833,0
1.9552,1.3808,0.7833,0
1.8665,1.3281,1.2303,0
1.8665,1.3281,1.2303,0
1.8054,1.7471,1.1758,0
2.4156,1.6981,1.1237,0
2.385,1.674,1.0983,0
2.3198,1.6237,1.0453,0
2.2904,1.6014,1.0219,0
2.2294,1.556,0.9747,0
2.1979,1.533,0.951,0
2.1685,1.5119,0.9294,0
2.1063,1.4681,0.8854,0
2.0749,1.4467,0.8642,0
2.0131,1.4056,0.8247,0
2.0131,1.4056,0.8247,0
1.9217,1.3483,0.7727,0
1.9217,1.3483,0.7727,0
1.8298,1.7802,1.2001,0
1.8298,1.7802,1.2001,0
1.7986,1.7611,1.1725,0
1.9822,1.7234,1.1173,0
1.9174,2.1735,1.066,22
1.8859,2.1559,1.0416,22
1.8513,2.1368,1.0154,22
1.7996,2.0948,0.9853,22
1.7745,2.0726,0.9728,22
1.7338,1.5598,0.9563,0
2.0283,1.5399,0.9505,0
1.9813,1.5043,1.4729,0
1.9271,1.4736,1.4324,0
1.8998,1.4587,1.4124,0
1.8998,1.4587,1.4124,0
1.8104,1.8641,1.3486,22
1.7486,1.8274,1.3064,22
1.7218,1.8045,1.2932,22
1.6981,1.7827,1.2829,22
2.0137,1.739,1.3871,0
2.0137,1.739,1.3871,0
1.9376,1.6814,1.3334,0
1.9376,1.6814,1.3334,0
1.8756,1.6424,1.2881,0
1.8157,1.606,1.2458,0
1.8157,1.606,1.2458,0
1.7228,1.5528,1.1835,0
1.6913,1.9652,1.1634,22
1.6622,1.946,1.1453,22
1.6022,1.8998,1.1147,22
1.6022,1.8998,1.1147,22
1.9205,1.4198,1.2391,0
1.8961,1.3959,1.2262,0
1.851,1.3601,1.1997,0
1.851,1.3601,1.1997,0
2.1882,1.6987,1.1467,0
2.1265,1.6569,1.1112,0
2.1265,1.6569,1.1112,0
2.0955,1.6363,1.0942,0
2.0293,1.5937,1.2738,0
1.9662,1.5546,1.2239,0
1.9357,1.5364,1.2003,0
1.8743,1.501,1.1539,0
1.8449,1.8749,1.1322,22
1.8116,1.8516,1.1083,22
1.7569,1.8067,1.074,22
2.1387,1.3862,1.0533,0
2.1162,1.3651,1.3128,0
2.0582,1.6861,1.2664,0
2.0582,1.6861,1.2664,0
1.9668,1.6199,1.1959,0
1.9668,1.6199,1.1959,0
1.9042,1.5763,1.1496,0
2.6568,1.5371,1.1084,0
2.6277,1.5184,1.0888,0
2.5919,1.4958,1.0655,0
2.5328,1.46,1.0288,0
2.5328,1.46,1.0288,0
2.8676,1.7596,0.9777,0
2.8299,1.7336,1.2226,0
2.7661,1.6907,1.1737,0
2.7661,1.6907,1.1737,0
2.669,1.6282,1.1024,0
